trackId;artist
0mVTQi9I4ehzSi9u9hLca5;Hugo & Guilherme
1BJJbSX6muJVF2AK7uH1x4;Adam Port
1BJJbSX6muJVF2AK7uH1x4;Stryv
1BJJbSX6muJVF2AK7uH1x4;Keinemusik
1BJJbSX6muJVF2AK7uH1x4;Orso
1BJJbSX6muJVF2AK7uH1x4;Malachiii
0S7o4sti5I5CAbbotTUzTM;Traia Véia
0S7o4sti5I5CAbbotTUzTM;Luan Pereira
2FQrifJ1N335Ljm3TjTVVf;Shaboozey
3HMY0r2BAdpasXMY8rseR0;Hozier
6S44vghJxOzBM2dwG10KBR;Luan Santana
1BpnfIGAoWr04mls61Hf5n;Thiago e Samuel
1BpnfIGAoWr04mls61Hf5n;Simone Mendes
7vCtJ5u7dFM4tAWtgFf4l8;Murilo Huff
38ywlpKe3tmlSRVQj8wyDI;Drops INA
0VjIjW4GlUZAMYd2vXMi3b;The Weeknd
0JIYoXtJfORxI6gRpHv6ZW;Henrique & Juliano
1TN4K9yZoRbbgaANj6X4EC;Breno Ferreira
1TN4K9yZoRbbgaANj6X4EC;Tierry
2gH5BX1Mr3voRMC8bVisBZ;Heitor e Murilo
2gH5BX1Mr3voRMC8bVisBZ;Diego & Victor Hugo
2kFaWbpzQzpaJ0H6PskR6k;Mari Fernandez
3FB06ULqN0WNUSQ3UaMZnF;NATTAN
5IAx5ePf9QztrT7MqdCyDT;ANAVITÓRIA
3JLhwgadVkN8zckxL1ICrI;Hugo & Guilherme
3JLhwgadVkN8zckxL1ICrI;Maiara & Maraisa
5vNRhkKd0yEAg8suGBpjeY;ROSÉ
5vNRhkKd0yEAg8suGBpjeY;Bruno Mars
7l9Tq5phzkLnhWUyfp702G;Kaique e Felipe
7l9Tq5phzkLnhWUyfp702G;Luan Pereira
5q0EXnBYyeCdXD72FzJxH0;Dua Lipa
7DkhndGTKaqkFxxKN7XlAh;Guilherme & Benuto
7DkhndGTKaqkFxxKN7XlAh;Simone Mendes
3kl34RPPISUNUGZkjJkBNS;Gustavo Mioto
5DJNvfIFtPbGZNn0voXdl4;Adryana E A Rapaziada
04h9o3gtRD7fvGafF7ukJj;Tim Maia
