name;album;artists;release_date
Casca de Bala;A Cara das Vaquejadas 3.0;Thullio Milionário;2024-03-01
A Bar Song (Tipsy);A Bar Song (Tipsy);Shaboozey;2024-04-12
Fronteira - Ao Vivo;Boiadeira Internacional: Vol. 3 (Ao Vivo);Ana Castela, Gustavo Mioto;2023-11-17
Water;Water;Tyla;2023-07-28
Wi-Fi - Ao Vivo;Wi-Fi (Ao Vivo);Traia Véia, Luan Pereira;2024-07-18
O Que É Que Eu Sou Pra Você? - Ao Vivo;Ao Vivo Em Goiânia, Vol. 1;Thiago Carvalho;2023-07-07
Anestesiado - Ao Vivo;Anestesiado (Ao Vivo);Murilo Huff;2023-11-16
Geedy;DANCE THIS;czinne7;2024-09-24
Maravilhosa Graça;Hype (Ao Vivo);Drops INA;2017-02-27
Too Sweet;Unheard;Hozier;2024-03-22
SNAP - Italian;SNAP PACK;Rosa Linn, Alfa;2022-09-30
Pátio do Posto - Ao Vivo;Escolhas, Vol. 1 (Ao Vivo);Zé Neto & Cristiano;2023-02-16
Desconhecido - Ao Vivo;Desconhecido (Ao Vivo);Diego & Arnaldo, Lauana Prado;2024-09-12
BIRDS OF A FEATHER;HIT ME HARD AND SOFT;Billie Eilish;2024-05-17
Amor Na Praia;Amor Na Praia;NATTAN;2024-03-07
Voltando Pra Mim;Voltando Pra Mim;Gustavo Mioto;2024-03-29
Por Te Amar Assim;Por Te Amar Assim;Edson & Hudson;2024-09-19
MULHER SEGURA - Ao Vivo;LUAN CITY 2.0 (Ao Vivo);Luan Santana;2023-11-09
Dói Sem Tanto;O Tempo É Agora;ANAVITÓRIA;2018-08-03
Amor Diferente - Ao Vivo;Amor Diferente (Ao Vivo);Thiago e Samuel, Simone Mendes;2024-04-26
Fim de Noite;Love Lindo;Adryana E A Rapaziada;2001-03-01
Traumatizei - Ao Vivo Em Brasília;To Be (Ao Vivo Em Brasília EP1);Henrique & Juliano;2023-02-03
Blinding Lights;After Hours;The Weeknd;2020-03-20
Eu Amo Você;Tim Maia 1970;Tim Maia;1970-01-05
Manda um Oi - Ao Vivo;Manda um Oi (Ao Vivo);Guilherme & Benuto, Simone Mendes;2023-05-11
Sujeito Homem - Ao Vivo;Sujeito Homem (Ao Vivo);Guilherme & Benuto;2024-10-17
Illusion;Radical Optimism;Dua Lipa;2024-05-03
Move;Move;Adam Port, Stryv, Keinemusik, Orso, Malachiii;2024-06-07
Olho Encharcado;Olho Encharcado;Heitor e Murilo, Diego & Victor Hugo;2024-07-05
Nega véia;Amando e sambando;Nhocuné Soul;2009-02-03
Devia Ser Proibido - Ao Vivo Em Brasília;To Be (Ao Vivo Em Brasília);Henrique & Juliano;2023-07-28
Bem Mais Que Eu (Você Quer Caçar Seu Rumo) - Ao Vivo;Búzios Paradise (Ao Vivo);Diego & Victor Hugo;2024-08-01
Mulher Foda - Ao Vivo;Cantando Sua História (Ao Vivo / Vol.2);Simone Mendes;2024-07-12
Saudade Matada - Ao Vivo;Saudade Matada (Ao Vivo);Vini Drumond;2024-05-17
Daquele Jeitão - Ao Vivo;Calendário (Ao Vivo);Péricles;2024-04-26
Foi Intenso - Ao Vivo;Foi Intenso (Ao Vivo);Zé Neto & Cristiano, Ana Castela;2024-05-01
A Culpa É Nossa - Ao Vivo;Identidade, Ep. 1 (Ao Vivo);Maiara & Maraisa;2022-12-16
