trackId;name;album;artists;release_date
49S3znqBAQyPyMpEuKeyJ6;feelslikeimfallinginlove;Moon Music;['Coldplay'];2024-10-04
6nHOS9bPDkMzzjxWS6PBtt;Chorosa - Ao Vivo;In Casa (Ao Vivo);['Guilherme & Benuto'];2024-08-15
61W9rzBCTv8RZmYxYTtN5v;Torre Eiffel - Ao Vivo;Daqui pra Sempre, Vol. 03 (Ao Vivo);['Manu', 'Guilherme & Benuto'];2024-03-01
2qSkIjg1o9h3YT9RAgYN75;Espresso;Espresso;['Sabrina Carpenter'];2024-04-12
7Elw15XWLpOi4qzHyAwa9e;Nosso Primeiro Beijo - Ao Vivo;Serenata da GG, Vol. 1 (Ao Vivo);['Gloria Groove'];2024-05-30
1kmC1D65StdXts9xb7c7M2;Traumas, Pt. 2;Traumas, Pt. 2;['Gyylo'];2023-11-02
0bor3AJ8QV6RRbyV64ZsOO;Cortando as BR (F&J 10 Anos) - Ao Vivo;Cortando as BR (F&J 10 Anos) [Ao Vivo];['Fiduma & Jeca', 'Fernando & Sorocaba'];2024-05-16
1Jhkk1FIV7tMH9CZATjxrf;Equivocada - Ao Vivo;Equivocada (Ao Vivo);['Traia Véia', 'Gusttavo Lima'];2024-03-21
7CUQQLRMIeSfa4m2uQcRHp;Rancorosa - Ao Vivo Em Brasília;Rancorosa (Ao Vivo Em Brasília);['Henrique & Juliano'];2023-03-21
6tNQ70jh4OwmPGpYy6R2o9;Beautiful Things;Beautiful Things;['Benson Boone'];2024-01-18
3whfTX0NBHhjynUlARMf7q;Desconhecido - Ao Vivo;Desconhecido (Ao Vivo);['Diego & Arnaldo', 'Lauana Prado'];2024-09-12
4Dvkj6JhhA12EX05fT7y2e;As It Was;Harry's House;['Harry Styles'];2022-05-20
1L7hWEc3tVjvmbw48ShktM;Desejo Imortal (It Must Have Been Love) - Ao Vivo;Desejo Imortal (It Must Have Been Love) [Ao Vivo];['Gusttavo Lima'];2023-04-13
6dOtVTDdiauQNBQEDOtlAB;BIRDS OF A FEATHER;HIT ME HARD AND SOFT;['Billie Eilish'];2024-05-17
1bzRhnrWU1l1u4Bby9ZbfQ;Nosso Quadro;AgroPlay Verão Vol.1;['AgroPlay', 'Ana Castela'];2023-02-02
5lCErzo5pzcERgOL5hScRG;Apaguei Pra Todos - Ao Vivo;Apaguei Pra Todos (Ao Vivo);['Ferrugem', 'Sorriso Maroto'];2024-04-17
4Z2i41GDQyu3KRpBavEnyR;Solteiro Forçado - Boiadeira Internacional;Solteiro Forçado (Boiadeira Internacional);['Ana Castela'];2023-07-07
0WrM1ON5poAsmKw3x5uPhD;Narcisista - Ao Vivo;Narcisista (Ao Vivo);['Maiara & Maraisa'];2023-07-13
4PQdrXMDHDPl1RczrrlADd;MORENA;MORENA;['Luan Santana'];2021-06-17
1NcqLEg2r2LXqMVbam2BJD;Triplex - Ao Vivo;Triplex (Ao Vivo);['Matheus Fernandes', 'Matheus & Kauan'];2024-05-22
2LQ67PtoEgJSaRSqoh4k2E;Greve De Beijo - Ao Vivo;Let's Bora UDI (Ao Vivo);['Israel & Rodolffo'];2024-02-29
6HU7h9RYOaPRFeh0R3UeAr;deja vu;SOUR;['Olivia Rodrigo'];2021-05-21
4tXVLiZWjPo5rFx1DjBZjl;Duvido - Ao Vivo;Duvido (Ao Vivo);['Turma do Pagode', 'Ferrugem', 'Mumuzinho'];2024-10-03
19SPlSeayCtqMJ9vDbJhqO;SNAP - Italian;SNAP PACK;['Rosa Linn', 'Alfa'];2022-09-30
1wubETHu3SeJHfbz9itEH0;Última Saudade - Ao Vivo;Manifesto Musical 2 (Ao Vivo / EP1);['Henrique & Juliano'];2024-09-27
0FMsqCI7ebewLFBfNysgkK;O Que É Que Eu Sou Pra Você? - Ao Vivo;Ao Vivo Em Goiânia, Vol. 1;['Thiago Carvalho'];2023-07-07
4t6eam3rC9JoNFVkfOHK4s;Pátio do Posto - Ao Vivo;Escolhas, Vol. 1 (Ao Vivo);['Zé Neto & Cristiano'];2023-02-16
66M2D3OYOa40WOCRIpnF9C;Cowboy de Rodeio;Cowboy de Rodeio;['Elis Justi'];2024-10-15
12G0KiYRpmpDOrube9GCa5;Fronteira - Ao Vivo;Boiadeira Internacional: Vol. 3 (Ao Vivo);['Ana Castela', 'Gustavo Mioto'];2023-11-17
2OXfrGRy8SY9G8YFjfvDuj;Geedy;DANCE THIS;['czinne7'];2024-09-24
0bPP5cDG1ZnbAVCEa3ZbQ1;Só Fé;É o Grelo;['Grelo'];2024-07-19
5QpcLTQjh0qO7OIuR9q8IR;Morar Nesse Motel;Morar Nesse Motel;['Gusttavo Lima'];2024-06-27
5aIVCx5tnk0ntmdiinnYvw;Water;Water;['Tyla'];2023-07-28
5mJcnekfy4DEpAZ6uAHM7Y;Casca de Bala;A Cara das Vaquejadas 3.0;['Thullio Milionário'];2024-03-01
0mVTQi9I4ehzSi9u9hLca5;Saudade Sem Educação - Ao Vivo;João Neto & Frederico 25 Anos Ao Vivo (Hugo & Guilherme);['João Neto & Frederico', 'Hugo & Guilherme'];2024-06-14
1BJJbSX6muJVF2AK7uH1x4;Move;Move;['Adam Port', 'Stryv', 'Keinemusik', 'Orso', 'Malachiii'];2024-06-07
0S7o4sti5I5CAbbotTUzTM;Wi-Fi - Ao Vivo;Wi-Fi (Ao Vivo);['Traia Véia', 'Luan Pereira'];2024-07-18
2FQrifJ1N335Ljm3TjTVVf;A Bar Song (Tipsy);A Bar Song (Tipsy);['Shaboozey'];2024-04-12
3HMY0r2BAdpasXMY8rseR0;Too Sweet;Unheard;['Hozier'];2024-03-22
6S44vghJxOzBM2dwG10KBR;MULHER SEGURA - Ao Vivo;LUAN CITY 2.0 (Ao Vivo);['Luan Santana'];2023-11-09
1BpnfIGAoWr04mls61Hf5n;Amor Diferente - Ao Vivo;Amor Diferente (Ao Vivo);['Thiago e Samuel', 'Simone Mendes'];2024-04-26
7vCtJ5u7dFM4tAWtgFf4l8;Anestesiado - Ao Vivo;Anestesiado (Ao Vivo);['Murilo Huff'];2023-11-16
38ywlpKe3tmlSRVQj8wyDI;Maravilhosa Graça;Hype (Ao Vivo);['Drops INA'];2017-02-27
0VjIjW4GlUZAMYd2vXMi3b;Blinding Lights;After Hours;['The Weeknd'];2020-03-20
0JIYoXtJfORxI6gRpHv6ZW;Traumatizei - Ao Vivo Em Brasília;To Be (Ao Vivo Em Brasília EP1);['Henrique & Juliano'];2023-02-03
1TN4K9yZoRbbgaANj6X4EC;Quem É O Pai?;Quem É O Pai?;['Breno Ferreira', 'Tierry'];2024-08-16
2gH5BX1Mr3voRMC8bVisBZ;Olho Encharcado;Olho Encharcado;['Heitor e Murilo', 'Diego & Victor Hugo'];2024-07-05
2kFaWbpzQzpaJ0H6PskR6k;Página De Ex - Ao Vivo;Mari No Barzinho (Ao Vivo No RJ);['Mari Fernandez'];2024-04-26
3FB06ULqN0WNUSQ3UaMZnF;Amor Na Praia;Amor Na Praia;['NATTAN'];2024-03-07
5IAx5ePf9QztrT7MqdCyDT;Dói Sem Tanto;O Tempo É Agora;['ANAVITÓRIA'];2018-08-03
3JLhwgadVkN8zckxL1ICrI;O Meu Coração Em Suas Mãos (Colgando en tu manos) - Ao Vivo;O Meu Coração Em Suas Mãos (Colgando en tu manos) [Ao Vivo];['Hugo & Guilherme', 'Maiara & Maraisa'];2024-07-31
5vNRhkKd0yEAg8suGBpjeY;APT.;APT.;['ROSÉ', 'Bruno Mars'];2024-10-18
7l9Tq5phzkLnhWUyfp702G;Saveiro;Saveiro;['Kaique e Felipe', 'Luan Pereira'];2024-07-25
5q0EXnBYyeCdXD72FzJxH0;Illusion;Radical Optimism;['Dua Lipa'];2024-05-03
7DkhndGTKaqkFxxKN7XlAh;Manda um Oi - Ao Vivo;Manda um Oi (Ao Vivo);['Guilherme & Benuto', 'Simone Mendes'];2023-05-11
3kl34RPPISUNUGZkjJkBNS;Voltando Pra Mim;Voltando Pra Mim;['Gustavo Mioto'];2024-03-29
5DJNvfIFtPbGZNn0voXdl4;Fim de Noite;Love Lindo;['Adryana E A Rapaziada'];2001-03-01
04h9o3gtRD7fvGafF7ukJj;Eu Amo Você;Tim Maia 1970;['Tim Maia'];1970-01-05
